2017-03-08 21:50:41,801 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.caveofprogramming.spring.web:offers:0.0.1-SNAPSHOT @ Z:\Spring-Tutorial-169\spring-tutorial-169\pom.xml.
2017-03-08 21:51:02,340 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 21:51:02,347 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 21:51:02,350 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 21:51:02,356 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 21:51:41,409 [Worker-9] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-03-08 21:51:41,939 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.caveofprogramming.spring.web:offers:0.0.1-SNAPSHOT @ Z:\Spring-Tutorial-169\spring-tutorial-169\pom.xml.
2017-03-08 21:51:42,577 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /spring-tutorial-169/src
2017-03-08 21:51:42,578 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /spring-tutorial-169/src/test/java because it overlaps with /spring-tutorial-169/src
2017-03-08 21:51:43,022 [Worker-9] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2017-03-08 21:51:45,403 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 21:51:45,412 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 21:51:45,415 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 21:51:45,423 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 21:54:06,329 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 21:54:06,421 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 21:54:06,423 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 21:54:06,431 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 21:55:09,824 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 21:55:09,834 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 21:55:09,837 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 21:55:09,845 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 21:57:35,649 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 21:57:35,679 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 21:57:35,681 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 21:57:35,701 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 22:07:16,489 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.caveofprogramming.spring.web:offers:0.0.1-SNAPSHOT @ Z:\java\Spring-Tutorial-169\spring-tutorial-169\pom.xml.
2017-03-08 22:07:40,199 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:07:40,212 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 22:07:40,215 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:07:40,224 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 22:08:22,654 [Worker-40] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-03-08 22:08:23,191 [Worker-40] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.caveofprogramming.spring.web:offers:0.0.1-SNAPSHOT @ Z:\java\Spring-Tutorial-169\spring-tutorial-169\pom.xml.
2017-03-08 22:08:23,750 [Worker-40] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /spring-tutorial-169/src
2017-03-08 22:08:23,751 [Worker-40] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /spring-tutorial-169/src/test/java because it overlaps with /spring-tutorial-169/src
2017-03-08 22:08:24,224 [Worker-40] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2017-03-08 22:08:26,886 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:08:26,894 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 22:08:26,897 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:08:26,902 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 22:10:07,346 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:10:07,372 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 22:10:07,374 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:10:07,433 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 22:19:59,016 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:19:59,022 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 22:19:59,023 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:19:59,032 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 22:24:37,441 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @1063182ms
2017-03-08 22:24:37,711 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2017-03-08 22:24:37,811 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@5564fe28{/help,null,AVAILABLE}
2017-03-08 22:24:37,858 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@d300c3a{HTTP/1.1,[http/1.1]}{127.0.0.1:52649}
2017-03-08 22:24:37,858 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @1063599ms
2017-03-08 22:26:58,858 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:26:59,040 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 22:26:59,041 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:26:59,075 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 22:28:58,310 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:28:58,318 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 22:28:58,322 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:28:58,329 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 22:31:26,418 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:31:26,426 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 22:31:26,428 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:31:26,435 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 22:35:09,141 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
